Year,Month,MonthNum,Count
2008,7,1,6
2008,8,2,19751
2008,9,3,78594
2008,10,4,71437
2008,11,5,55230
2008,12,6,53866
2009,1,7,70915
2009,2,8,77335
2009,3,9,84314
2009,4,10,86531
2009,5,11,102091
2009,6,12,110861
2009,7,13,123195
2009,8,14,119715
2009,9,15,117904
2009,10,16,129301
2009,11,17,139833
2009,12,18,137028
2010,1,19,156274
2010,2,20,150428
2010,3,21,170602
2010,4,22,159715
2010,5,23,164944
2010,6,24,174751
2010,7,25,191312
2010,8,26,198064
2010,9,27,188129
2010,10,28,195170
2010,11,29,216240
2010,12,30,213812
2011,1,31,245675
2011,2,32,251851
2011,3,33,308441
2011,4,34,289119
2011,5,35,299497
2011,6,36,297188
2011,7,37,299217
2011,8,38,317877
2011,9,39,296634
2011,10,40,291498
2011,11,41,317355
2011,12,42,302370
2012,1,43,337666
2012,2,44,355717
2012,3,45,382015
2012,4,46,363140
2012,5,47,377937
2012,6,48,364828
2012,7,49,395233
2012,8,50,394938
2012,9,51,365312
2012,10,52,416152
2012,11,53,403014
2012,12,54,371770
2013,1,55,432111
2013,2,56,417612
2013,3,57,472877
2013,4,58,462148
2013,5,59,448649
2013,6,60,423442
2013,7,61,472697
2013,8,62,460544
2013,9,63,443322
2013,10,64,492377
2013,11,65,467286
2013,12,66,445504
2014,1,67,505560
2014,2,68,494879
2014,3,69,535563
2014,4,70,498446
2014,5,71,448315
2014,6,72,408397
2014,7,73,448225
2014,8,74,414405
2014,9,75,418180
2014,10,76,432863
2014,11,77,417927
2014,12,78,394888
2015,1,79,416248
2015,2,80,418976
2015,3,81,467832
2015,4,82,480519
2015,5,83,467011
2015,6,84,467904
2015,7,85,486395
2015,8,86,451634
2015,9,87,442329
2015,10,88,459721
2015,11,89,436800
2015,12,90,429041
2016,1,91,451324
2016,2,92,468636
2016,3,93,523469
2016,4,94,510649
2016,5,95,494610
2016,6,96,479671
2016,7,97,460276
2016,8,98,472809
2016,9,99,447090
2016,10,100,454665
2016,11,101,452645
2016,12,102,423470
2017,1,103,465769
2017,2,104,432738
